input_query,ner_uni,ner_type,ner_keywords,decision,matched_uni,matched_type,matched_keywords,doc_path,page_index,score,snippet
건대 수시 모집 일정 알려줘,건국대,수시,모집일정,문서탐색,건국대,수시,모집일정,c:\Users\c\Desktop\Git\Togedy_AI_Chatbot\university\konkuk\susi_text.txt,77,0.102727,"능 구분 보증금 기숙사비(2인실) 비전홀, 프론티어홀, 드림홀 레이크홀 비고 학기 중 100,000 1,562,000 1,776,000 ※ 매 학기 학사일정에 따른 입주일  변동으로 차이가 있을 수 있음 6개월 100,000 2,364,000 2,687,000 ■ 입사 신청자격 • 건국대학교 재학생이면 신청 가능. 다만 학적상태가 재학상태일 경우만 신청 가능하며, 휴학생 등 재학상태가 아닐 경우 신청 불가 ■ 선발기준 • ‘입학성적’과 부모님 거주지에 따른 ‘원거리 지역점수’의 합산으로 선발 ■ 신청방법 • 쿨하우스 홈페이지(kulhouse.konkuk.ac.kr) 메인화면 우측 “입사 신청”을 통하여 신청 ■ 모집일정 • 2025년 1월초 예정  ■ 시설 및 기타 사항 • 캠퍼스 라운지, 열람실 등 공동 자율학습 공간, 대형 헬스클럽, 구내식당, 편의점, 빨래방, 스낵코너 등 편의시설, 옥외광장, 산책로"
건대 수시 모집 일정 알려줘,건국대,수시,모집일정,문서탐색,건국대,수시,모집일정,c:\Users\c\Desktop\Git\Togedy_AI_Chatbot\university\konkuk\susi_text.txt,1,0.0,2025학년도 건국대학교 수시모집요강 서울캠퍼스 ✽ 글로컬캠퍼스
건대 수시 모집 일정 알려줘,건국대,수시,모집일정,문서탐색,건국대,수시,모집일정,c:\Users\c\Desktop\Git\Togedy_AI_Chatbot\university\konkuk\susi_text.txt,2,0.0,KU•SEOUL•CAMPUS 2    건국대학교 서울캠퍼스 새로운 100년을 위해 THE NEW  KONKUK
연세대 정시 전형 방법과 제출서류,연세대,정시,전형방법|제출서류,문서탐색,연세대,정시,전형방법|제출서류,c:\Users\c\Desktop\Git\Togedy_AI_Chatbot\university\yonsei\jungsi_text.txt,12,0.13796,"연세대학교 서울캠퍼스 Ⅲ. 원서접수 및 서류제출 9 2. 서류제출 주요사항   가. 서류제출 안내 및 유의사항     1) 제출 기간 및 방법        제출방식 서류 종류 제출 기간 제출 방법 실물서류 - 각종 증빙서류[해당자에 한함] - 온라인 제출서류 중 온라인으로 제출 불 가할 경우 등 2024.12.31.(화) 10:00  ~ 2025.1.3.(금) 17:00 (등기우편 1.3.(금) 소인까지 유효)  방문(택배) 또는 등기우편 제출   ※ 실물서류 방문(택배) 제출 접수는 2025.1.1.(수)에는 운영하지 않음 ※ 실물서류 제출은 인터넷 원서접수 사이트에서 ‘제출서류안내’를 참고하여 ‘서류제출용 봉투표지’를 출력 후 봉투에 부착해야 함     2) 제출주소: (우)03722 서울특별시 서대문구 연세로 50 연세대학교 201동(백주년기념관) 3층 입학전형실 정시모집 담당자 앞     3) 제출서류 도착 확인: 2025.1.9.(목) 17:00, 연세대학"
연세대 정시 전형 방법과 제출서류,연세대,정시,전형방법|제출서류,문서탐색,연세대,정시,전형방법|제출서류,c:\Users\c\Desktop\Git\Togedy_AI_Chatbot\university\yonsei\jungsi_text.txt,14,0.124771,"연세대학교 서울캠퍼스 Ⅲ. 원서접수 및 서류제출 11 ■ 기타서류(해당자에 한함) 구분 제출서류 체능계열 지원자 중  실기면제 희망자 경기실적증명서 1부 원서/학생부/수능성적표 간 성명 또는 주민등록번호가  불일치하는 자 성명·주민등록번호 불일치 사항 확인서 ([연세대학교 입학처 홈페이지(서울캠퍼스) 자료실]에서 내려받아 작성)   다. 유의사항    ○ 모든 실물 제출서류의 우측 상단에 원서접수 시 부여된 수험번호 및 성명을 기재해야 함(원서접수 전에는 주민등록번호 기재하 여 제출 가능) ○ 접수된 제출서류는 반환하지 않음을 원칙으로 함 ○ 서류평가 과정에서 사실 확인이 필요할 경우, 수험생 본인 또는 관계인에게 추가 증빙서류를 요청할 수 있음 ○ 모든 서류의 제출 의무는 지원자 본인에게 있으며, 서류"
연세대 정시 전형 방법과 제출서류,연세대,정시,전형방법|제출서류,문서탐색,연세대,정시,전형방법|제출서류,c:\Users\c\Desktop\Git\Togedy_AI_Chatbot\university\yonsei\jungsi_text.txt,13,0.117325,"연세대학교 서울캠퍼스 10 Ⅲ. 원서접수 및 서류제출 ■ 필수 제출서류 Ⅱ(지원자격 증빙서류: 고른기회전형 지원자에 한함)   ○ 지원자격 해당자는 서류제출 기간 내 필수로 제출해야 하며, 모든 서류는 2024.12.1.(일) 이후 발급된 서류이어야 함   ○ 모든 증명서는 원본 제출(44쪽 ‘Ⅶ_2. 각종 증명서 제출 안내’의 ‘증명서 진위 여부 확인 방법’ 참조)을 원칙으로 함. 단, 원본  제출이 불가능한 경우 학교장이 원본 대조(원본 대조 후 고등학교장 직인 날인)한 사본을 제출할 수 있음   ○ 주민등록번호가 기재된 증명서에는 13자리 숫자가 모두 표시되어야 함(주민등록번호가 아닌 생년월일이 표시되는 일부 서류는 예외로 함) 구분 제출서류 연세한마음학생 ∙ 지원자 기준 국"
영어등급 환산표와 KU 일반학생 전형 안내,,,전형|영어등급|일반학생|등급환산,재질문,,,,,-1,0.0,(최종 분류: 재질문 — 문서탐색 아님)
건대랑 서연고 수시 전형 일정 알려줘,건국대|서울대|연세대|고려대,수시,전형일정,문서탐색,건국대,수시,전형일정,c:\Users\c\Desktop\Git\Togedy_AI_Chatbot\university\konkuk\susi_text.txt,4,0.088296,"KU•SEOUL•CAMPUS 4    건국대학교 서울캠퍼스 QR코드를 스캔하고 더 자세한 입학 정보를 확인하세요! QR코드를  스캔하라KU! CONTENTS 2025학년도 서울캠퍼스 수시모집요강 Ⅰ. 전형 요약 및 주요 변경 사항               05 Ⅱ. 모집단위별 모집인원               13 Ⅲ. 전형별 모집인원               16 Ⅳ. 원서접수 및 전형일정, 합격자 발표 및 등록 안내    19 Ⅴ. 세부 전형별 안내    23 학생부교과(KU지역균형)  23 학생부종합(KU자기추천)  26 학생부종합(사회통합)  30 학생부종합(특성화고교졸업자)  36 학생부종합(특성화고졸재직자)  40 학생부종합(특수교육대상자)  43 논술(KU논술우수자)  47 실기/실적(KU연기우수자)  51 실기/실적(KU체육특기자)  54 Ⅴ-1. 제출서류 안내    58 Ⅵ. 학생부위주전형 안내    60 Ⅶ. 학생부(교과정량) 반영방법    65 Ⅷ. 지원자 유의사항    67 Ⅸ. 전형료    69 Ⅹ. 학교생활 안내: 장학, 학사, 진로/취업,"
건대랑 서연고 수시 전형 일정 알려줘,건국대|서울대|연세대|고려대,수시,전형일정,문서탐색,건국대,수시,전형일정,c:\Users\c\Desktop\Git\Togedy_AI_Chatbot\university\konkuk\susi_text.txt,38,0.084607,00 0 300 30% 5. 평가요소 및 평가항목 평가요소 반영비율 평가항목 학업역량 30% 학업성취도 / 학업태도 / 탐구력 진로역량 40% 전공(계열) 관련 교과 이수 노력 / 전공(계열) 관련 교과 성취도 / 진로 탐색 활동과 경험 공동체역량 30% 협업과 소통능력 / 나눔과 배려 / 성실성과 규칙준수 / 리더십 6. 선발원칙 • 학생부(교과정량)와 서류 점수를 합산하여 총점 석차순으로 모집단위별 모집인원 선발 • 서류 점수가 일정 수준 이하인 경우 선발대상에서 제외 • 제출서류를 기한 내에 제출하지 않은 경우 선발대상에서 제외 • 학교폭력 조치사항 기재 항목에 따른 감점표를 활용하여 총점에서 감점  7. 전형일정 구분 일정 원서접수 2024. 9. 9.(월) 10:00 ~ 9. 12.(목) 17:00 서류제출(PDF 업로드) 2024. 9. 9.(월) 10:00 ~ 9. 13.(금) 17:00 최초합격자 발표 2024. 12. 13.(금) 14:00 예정
건대랑 서연고 수시 전형 일정 알려줘,건국대|서울대|연세대|고려대,수시,전형일정,문서탐색,건국대,수시,전형일정,c:\Users\c\Desktop\Git\Togedy_AI_Chatbot\university\konkuk\susi_text.txt,32,0.083184,00 0 300 30% 5. 평가요소 및 평가항목 평가요소 반영비율 평가항목 학업역량 30% 학업성취도 / 학업태도 / 탐구력 진로역량 40% 전공(계열) 관련 교과 이수 노력 / 전공(계열) 관련 교과 성취도 / 진로 탐색 활동과 경험 공동체역량 30% 협업과 소통능력 / 나눔과 배려 / 성실성과 규칙준수 / 리더십 6. 선발원칙 • 학생부(교과정량)와 서류 점수를 합산하여 총점 석차순으로 모집단위별 모집인원 선발 • 서류 점수가 일정 수준 이하인 경우 선발대상에서 제외 • 제출서류를 기한 내에 제출하지 않은 경우 선발대상에서 제외 • 학교폭력 조치사항 기재 항목에 따른 감점표를 활용하여 총점에서 감점  7. 전형일정 구분 일정 원서접수 2024. 9. 9.(월) 10:00 ~ 9. 12.(목) 17:00 서류제출(PDF 업로드) 및 온라인 입력 2024. 9. 9.(월) 10:00 ~ 9. 13.(금) 17:00 ※ 학교생활기록부 대체 서식(해당자) 온라인 입력 최초합격자 발표 2024. 12. 13.(금) 14:00 예정
건대랑 서연고 수시 전형 일정 알려줘,건국대|서울대|연세대|고려대,수시,전형일정,문서탐색,서울대,수시,전형일정,c:\Users\c\Desktop\Git\Togedy_AI_Chatbot\university\seoul\susi_text.txt,3,0.038,차  례 입학전형 일정표 ··········································································································································· 1    Ⅰ. 학생부종합전형(지역균형전형) ············································································································· 1    Ⅱ-1. 학생부종합전형(일반전형) [전 모집단위(음악대학 제외)] ····················
